"","Version","SystemRequirements"
"hive","0.2-2","Apache Hadoop >= 2.7.2
(https://hadoop.apache.org/releases.html#Download); Obsolete:
Hadoop core >= 0.19.1 and <= 1.0.3 or CDH3
(https://www.cloudera.com); standard unix tools (e.g., chmod)"
"HMMmlselect","0.1.6","C++11"
"hopit","0.10.3","C++11"
"hpa","1.2.1","GNU make"
"HRM","1.2.1","C++11"
"hsstan","0.8.1","GNU make"
"HTLR","0.4-3","C++11"
"httpgd","1.2.1","C++17, libpng, cairo, freetype2, fontconfig"
"httpuv","1.6.3","GNU make, C++11"
"huxtable","5.4.0","LaTeX packages: adjustbox, array, calc, caption,
colortbl, fontspec, graphicx, hhline, hyperref, multirow,
siunitx, tabularx, threeparttable, ulem, wrapfig"
"HydeNet","0.10.11","JAGS (http://mcmc-jags.sourceforge.net)"
"HypergeoMat","3.1.0","C++11"
"iai","1.6.0","Julia (>= 1.0) and Interpretable AI System Image
(>= 1.0.0)"
"IBMPopSim","0.3.1","C++11"
"ichimoku","1.2.4","C++11"
"ICRanks","3.1","C++11"
"idem","5.1","GNU make"
"idiogramFISH","2.0.6","pandoc (>= 2.0)"
"idm","1.8.2","ImageMagick (http://imagemagick.org) or
GraphicsMagick (http://www.graphicsmagick.org)"
"ieeeround","0.2-0","A C library with the fesetround/fegetround
functions."
"igate","0.3.3","pandoc (>= 1.12.3) - http://pandoc.org"
"igraph","1.2.7","gmp (optional), libxml2 (optional), glpk (optional)"
"ijtiff","2.2.7","libtiff, libjpeg, zlib"
"image.binarization","0.1.2","C++17"
"image.CannyEdges","0.1.0","libpng, fftw3"
"image.dlib","0.1.0","C++11"
"image.textlinedetector","0.1.5","C++11 and OpenCV 3 or newer: libopencv-dev (Debian,
Ubuntu) or opencv-devel (Fedora)"
"imager","0.42.10","fftw3,libtiff,C++11,X11"
"implyr","0.4.0","Impala driver to support a 'DBI'-compatible R
interface"
"imptree","0.5.1","C++11"
"iMRMC","1.2.3","Java JDK 1.7 or higher"
"inca","0.0.4","C++11"
"IncDTW","1.1.4.3","GNU make"
"inlmisc","0.5.2","pandoc (https://pandoc.org/) and phantomjs
(https://phantomjs.org/)"
"inpdfr","0.1.11","XPDF (http://www.foolabs.com/xpdf/download.html)"
"InSilicoVA","1.3.4","Java (>= 7)"
"interleave","0.1.1","C++11"
"interpret","0.1.26","C++11"
"inTextSummaryTable","3.1.0","pandoc (to export an interactive summary table to a
file)"
"IOHanalyzer","0.1.6.1","C++11"
"IOHexperimenter","0.1.4","GNU make"
"ip2location","8.0.1","IP2Location Python library
<https://www.ip2location.com/development-libraries/ip2location/python>"
"ip2proxy","1.1.0","IP2Proxy Python library
<https://www.ip2location.com/development-libraries/ip2proxy/python>"
"ipaddress","0.5.3","C++11"
"iptools","0.7.2","C++11"
"irace","3.4.1","GNU make"
"IRATER","0.0.1","AD Model Builder <http://admb-project.org>"
"iRF","2.0.0","C++11"
"IRkernel","1.2","jupyter, jupyter_kernel_test (Python package for
testing)"
"isoband","0.2.5","C++11"
"IsoSpecR","2.1.3","C++14"
"isotracer","1.0.4","GNU make"
"isqg","1.3","C++14"
"IUPS","1.0","JAGS (>= 3.3.0)"
"jaccard","0.1.0","C++11"
"jackalope","1.1.3","GNU make, C++11"
"jagsUI","1.5.2","JAGS (http://mcmc-jags.sourceforge.net)"
"jarbes","1.7.2","JAGS (>= 3.4.0) (see
http://mcmc-jags.sourceforge.net)"
"JavaGD","0.6-4","GNU make and Java JDK 1.2 or higher"
"jdx","0.1.4","Java Runtime Environment (>= 8)"
"JGR","1.8-7","Java JDK 1.6 or higher"
"JMbayes","0.8-85","JAGS (http://mcmc-jags.sourceforge.net)"
"jmcm","0.2.4","C++11"
"JMcmprsk","0.9.10","GNU GSL"
"jmotif","1.1.1","C++11"
"jmvconnect","2.0.0","jamovi (>= 1.2.8), C++11"
"JointAI","1.0.2","JAGS (http://mcmc-jags.sourceforge.net/)"
"jpeg","0.1-9","libjpeg"
"jqr","1.2.1","libjq: jq-devel (rpm) or libjq-dev (deb)"
"jSDM","0.1.0","GNU GSL"
"jSonarR","1.1.1","MongoDB, JSON Studio"
"jsonify","1.2.1","C++11"
"jsonStrings","1.0.0","C++11"
"jti","0.8.0","C++11"
"juicr","0.1","Tcl/Tk toolkit (X11 Quarts for Mac)"
"JuliaCall","0.17.4","Julia >= 0.6.0, RCall.jl"
"JuliaConnectoR","1.0.0","Julia >= 1.0"
"junctions","2.0.1","C++14"
"kantorovich","3.0.0","GMP (https://gmplib.org/)"
"kde1d","1.0.3","C++11"
"kdtools","0.6.0","A compiler that conforms to the C++17 standard"
"kerasR","0.6.1","Python (>= 2.7); keras <https://keras.io/> (>=
2.0.1)"
"kerastuneR","0.1.0.3","TensorFlow >= 2.0 (https://www.tensorflow.org/)"
"KernelKnn","1.1.3","libarmadillo: apt-get install -y libarmadillo-dev
(deb), libblas: apt-get install -y libblas-dev (deb),
liblapack: apt-get install -y liblapack-dev (deb),
libarpack++2: apt-get install -y libarpack++2-dev (deb),
gfortran: apt-get install -y gfortran (deb)"
"kernlab","0.9-29","C++11"
"keyATM","0.4.0","C++11"
"keyring","1.2.0","Optional: libsecret on Linux (libsecret-1-dev on
Debian/Ubuntu, libsecret-devel on Fedora/CentOS)"
"kgrams","0.1.0","C++11"
"klaR","0.6-15","SVMlight"
"klic","1.0.4","MOSEK (http://www.mosek.com) and MOSEK license."
"kmcudaR","1.1.0","CUDA 8.0 tookit, OpenMP 4.0 capable compiler"
"knitr","1.36","Package vignettes based on R Markdown v2 or
reStructuredText require Pandoc (http://pandoc.org). The
function rst2pdf() require rst2pdf
(https://github.com/rst2pdf/rst2pdf)."
"knn.covertree","1.0","C++11"
"KSgeneral","1.0.0","fftw3 (>=3.3.4), C++11"
"kza","4.1.0.1","fftw (>= 3.2.2)"
"L0Learn","2.0.3","C++11"
"lamW","2.1.0","GNU make"
"landmap","0.0.13","C++11, GDAL (>= 2.0.1), GEOS (>= 3.4.0), PROJ (>=
4.8.0)"
"landscapemetrics","1.5.4","C++11"
"landsepi","1.1.1","C++11, gsl"
"languageserversetup","0.1.2","procps (linux), ps (macos), wmic (windows)"
"latdiag","0.3","dot from graphviz"
"later","1.3.0","C++11"
"latexdiffr","0.1.0","latexdiff"
"latte","0.2.1","LattE <https://www.math.ucdavis.edu/~latte/>, 4ti2
<http://www.4ti2.de/>"
"lavacreg","0.1-2","C++11"
"lazyarray","1.1.0","C++11 little-endian platform"
"LCMCR","0.4.11","Gnu Scientific Library version >= 1.12"
"lcra","1.1.2","JAGS 4.x.y or WinBUGS 1.4"
"ldat","0.3.3","C++11"
"LeafArea","0.1.8","ImageJ (>=1.48), ij.jar (see
http://imagej.nih.gov/ij/), Java (>=1.6.0)"
"ledger","2.0.7","ledger (>= 3.1), hledger (>= 1.2), beancount (>=
2.0)"
"leidenAlg","0.1.1","GNU make"
"lfl","2.1.2","C++11"
"lgpr","1.1.5","GNU make"
"libsoc","0.7","libxml2: libxml2-dev (deb), libxml2-devel (rpm)"
"libstableR","1.0.2","GNU GSL"
"liftr","0.9.2","Docker (see <https://docs.docker.com/install/>)"
"lightgbm","3.3.0","C++11"
"lightsout","0.3","pandoc with https support"
"lingmatch","1.0.2","C++11"
"link2GI","0.4-7","GNU make"
"lira","2.0.1","JAGS (>= 3.0.0) (see
http://mcmc-jags.sourceforge.net)"
"littler","0.3.14","libR"
"LMMELSM","0.1.0","GNU make"
"lmSubsets","0.5-2","C++11"
"LocalControl","1.1.2.2","C++11"
"localScore","1.0.6","C++11"
"localsolver","2.3","At least trial version of LocalSolver to be
downloaded from http://www.localsolver.com/download.html"
"logKDE","0.3.2","C++11"
"loo","2.4.1","pandoc (>= 1.12.3), pandoc-citeproc"
"lowmemtkmeans","0.1.2","C++11"
"lubridate","1.8.0","C++11, A system with zoneinfo data (e.g.
/usr/share/zoneinfo). On Windows the zoneinfo included with R
is used."
"lutz","0.3.1","C++11"
"lvec","0.2.2","C++11"
"lwgeom","0.2-8","GEOS (>= 3.5.0), PROJ (>= 4.8.0), sqlite3"
"m2r","1.0.2","Macaulay2 <http://www.math.uiuc.edu/Macaulay2/>"
"MADPop","1.1.2","GNU make"
"magick","2.7.3","ImageMagick++: ImageMagick-c++-devel (rpm) or
libmagick++-dev (deb)"
"magickGUI","1.3.0","ImageMagick (>= 6.9.5.4)"
"mailR","0.4.1","Java"
"malan","1.0.2","C++11"
"mallet","1.0","java"
"manipulate","1.0.1","RStudio - http://www.rstudio.com/products/rstudio/"
"MaOEA","0.6.2","Python 3.x with following modules: PyGMO, NumPy,
and cloudpickle"
"mappoly","0.2.3","C++11"
"mapview","2.10.0","GNU make"
"marked","1.2.6","ADMB version 11 <http://admb-project.org/> for
use.admb=TRUE; see readme.txt"
"markerpen","0.1.1","C++11"
"markovchain","0.8.6","GNU make"
"mashr","0.2.50","C++11"
"matchingMarkets","1.0-2","Java, C++11"
"MatchIt","4.3.0","C++11"
"matlabr","1.5.2","MATLAB"
"matrixdist","1.1.3","C++11"
"matrixprofiler","0.1.5","GNU make"
"mauricer","2.5.1","BEAST2 (https://www.beast2.org/)"
"MaxentVariableSelection","1.0-3","maxent.jar file"
"mbbefd","0.8.10","GNU make"
"MBNMAdose","0.3.0","JAGS (>= 4.3.0)
(https://mcmc-jags.sourceforge.net/)"
"MBNMAtime","0.2.1","JAGS (>= 4.3.0) (http://mcmc-jags.sourceforge.net)"
"mboxr","0.2.0","Anaconda (https://www.anaconda.com/download/)"
"MCMCglmm","2.32","C++11"
"MCMCpack","1.6-0","gcc (>= 4.0)"
"mdbr","0.1.2","mdbtools: mdbtools (deb)."
"mdendro","2.1.0","C++11"
"MDFS","1.2.0","C++11"
"mdgc","0.1.5","C++14"
"meltr","1.0.0","C++11"
"meltt","0.4.1","Python (>= 2.7)"
"memoiR","1.1-2","pandoc"
"metaBMA","0.6.7","GNU make"
"metagear","0.7","Tcl/Tk toolkit (X11 Quarts for Mac)"
"metaMix","0.3","Open MPI (>=1.4.3)"
"metapost","1.0-6","mpost"
"MetaStan","0.4.0","GNU make"
"meteor","0.3-4","C++11"
"MethComp","1.30.0","JAGS (http://mcmc-jags.sourceforge.net)"
"mets","1.2.9","C++11"
"mfbvar","0.5.6","GNU make"
"MFPCA","1.3-9","libfftw3 (>= 3.3.4)"
"mice","3.13.0","C++11"
"miceFast","0.7.1","C++11"
"microbenchmark","1.4-7","On a Unix-alike, one of the C functions
mach_absolute_time (macOS), clock_gettime or gethrtime. If none
of these is found, the obsolescent POSIX function gettimeofday
will be tried."
"microclass","1.2","GNU make"
"miic","1.5.3","C++14"
"milr","0.3.1","GNU make"
"MIMSunit","0.11.0","memory (>= 4GB) Ubuntu: build-essential,
libxml2-dev, libssl-dev, libcurl4-openssl-dev Windows: Rtools
(>= 3.5)"
"minidown","0.2.0","pandoc (>= 2.7.2) - http://pandoc.org"
"minqa","1.2.4","GNU make"
"MIRES","0.1.0","GNU make"
"MixAll","1.5.1","GNU make"
"mixedClust","1.0.2","C++11"
"MixSIAR","3.1.12","JAGS (>= 4.3)"
"mixture","2.0.4","GNU GSL"
"ML2Pvae","1.0.0","TensorFlow (https://www.tensorflow.org), Keras
(https://keras.io), TensorFlow Probability
(https://www.tensorflow.org/probability)"
"mleap","1.1.0","Apache Spark 2.0+, Apache Maven 3.5+, Java JDK 8,
MLeap Runtime 0.10.1+"
"mlpack","3.4.2.1","A C++11 compiler. Versions 4.8.*, 4.9.* or later of
GCC will be fine."
"mlr","2.19.0","gdal (optional), geos (optional), proj (optional),
udunits (optional), gsl (optional), gmp (optional), glu
(optional), jags (optional), mpfr (optional), openmpi
(optional)"
"mod09nrt","0.14","MRTSwath"
"modeLLtest","1.0.3","GNU make"
"modeltime.h2o","0.1.1","Java (>= 8)"
"molic","2.0.3","C++11"
"MonetDB.R","2.0.0","MonetDB, available from http://www.monetdb.org"
"mongolite","2.3.1","OpenSSL, Cyrus SASL (aka libsasl2)"
"monoreg","1.2","GNU GSL"
"morse","3.3.1","JAGS (>= 4.0.0) (see
http://mcmc-jags.sourceforge.net)"
"motifr","1.0.0","Python (>= 3.0.0), numpy, pandas"
"motmot","2.1.3","C++11"
"move","4.0.6","C++11"
"moveVis","0.10.5","ImageMagick, FFmpeg, libav"
"MplusTrees","0.1.1","'Mplus' (<http://www.statmodel.com>)"
"mrbayes","0.5.1","GNU make"
"mrgsolve","0.11.1","C++11"
"mRpostman","1.0.0","libcurl: libcurl-devel (rpm) or
libcurl4-openssl-dev (deb)"
"MrSGUIDE","0.1.2","GNU make, C++11"
"mscstexta4r","0.1.2","A valid account MUST be registered with Microsoft's
Cognitive Services website
<https://www.microsoft.com/cognitive-services/> in order to
obtain a (free) API key. Without an API key, this package will
not work properly."
"mscsweblm4r","0.1.2","A valid account MUST be registered with Microsoft's
Cognitive Services website
<https://www.microsoft.com/cognitive-services/> in order to
obtain a (free) API key. Without an API key, this package will
not work properly."
"mssm","0.1.5","C++11"
"MUACz","2.1.0","GNU make"
"multibiplotGUI","1.0","Tcl/Tk package BWidget."
"multibridge","1.1.0","GNU make, mpfr (>= 3.0.0)"
"multicool","0.1-12","C++11"
"multinet","4.0","A C++14 compiler"
"multinma","0.3.0","GNU make"
"MultOrdRS","0.1-2","C++11"
"mutossGUI","0.1-11","Java (>= 5.0)"
"mvp","1.0-8","C++11"
"mvst","1.1.0","GNU Scientific Library"
"mwa","0.4.3","Java (>= 6.0)"
"mwaved","1.1.7","fftw3 (>= 3.3.4)"
"myTAI","0.9.3","C++11"
"N2R","0.1.1","GNU make"
"NACHO","1.1.0","pandoc (>= 1.12.3), pandoc-citeproc"
"nbconvertR","1.3.2","pandoc, jupyter, jupyter nbconvert (""nbconvert""
python package), pywin32 (on windows)"
"ncdf4","1.17","netcdf library version 4.1 or later"
"ndjson","0.8.0","zlib, C++14"
"neo2R","2.1.0","neo4j (==3 OR ==4) <https://neo4j.com/>"
"neo4jshell","0.1.1","neo4j - http://www.neo4j.com, cypher-shell -
https://github.com/neo4j/cypher-shell/releases"
"neptune","0.1.2","Python (>= 3.0.0), Neptune (https://neptune.ai/)"
"NestedCategBayesImpute","1.2.1","GNU make"
"netmhc2pan","1.3.1","NetMHC2pan
(https://services.healthtech.dtu.dk/service.php?NetMHCIIpan-3.2)"
"NetMix","0.2.0","C++11"
"netrankr","1.1.0","C++11"
"NetRep","1.2.4","A compiler with C++11 support for the thread
library, Requires Rtools >= 33 (i.e. R >= 3.3.0) to build on
Windows."
"NetworkInference","1.2.4","C++11"
"networkR","0.1.2","C++11"
"networkreporting","0.1.1","GNU make"
"neuronorm","1.0.0","cmake, FSL"
"nFCA","0.3","Ruby, Graphviz"
"nhdR","0.5.6","7-zip command line tool (7z)"
"nimble","0.12.1","GNU make"
"NlinTS","1.4.5","C++11"
"NLMR","1.1","C++11"
"nloptr","1.2.2.2","A system installation of NLopt >= 2.4.0 (with
headers) will be used if available."
"nlrx","0.4.3","NetLogo (>= 5.3.1), Java (JDK 1.8), pandoc,
OpenSSL, udunits-2, PROJ.4, GEOS, GDAL, libxml2"
"nmslibR","1.0.6","python3-dev: apt-get install -y python3-dev (deb),
python3-pip: apt-get install -y python3-pip (deb), numpy: pip3
install numpy (deb), scipy: pip3 install scipy (deb), nmslib:
pip3 install --no-binary :all: nmslib (deb)"
"NobBS","0.1.0","JAGS (http://mcmc-jags.sourceforge.net/) for
analysis of Bayesian hierarchical models"
"nomnoml","0.2.3","PhantomJS (http://phantomjs.org) for taking
screenshots"
"nopaco","1.0.6","C++11"
"NPMLEmix","1.2","MOSEK (http://www.mosek.com) and MOSEK license."
"nucim","1.0.11","tiff fftw libcurl openssl"
"Numero","1.8.4","C++11"
"oaqc","1.0","C++11"
"oceanmap","0.1.1","ImageMagick"
"ODB","1.2.1","zip"
"odbc","1.3.2","C++11, GNU make, An ODBC3 driver manager and
drivers."
"odeintr","1.7.1","C++11"
"officedown","0.2.2","pandoc (>= 2.0) - http://pandoc.org"
"OncoBayes2","0.8-2","GNU make, pandoc (>= 1.12.3), pandoc-citeproc"
"ondisc","1.0.0","GNU make"
"ooplah","0.1.0","C++11"
"OpenCL","0.2-2","OpenCL library"
"opencpu","2.2.5","pandoc, apparmor (optional)"
"openCR","2.1.0","GNU make"
"opencv","0.2.1","OpenCV 3 or newer: libopencv-dev (Debian, Ubuntu)
or opencv-devel (Fedora)"
"OpenImageR","1.2.0","libarmadillo: apt-get install -y libarmadillo-dev
(deb), libblas: apt-get install -y libblas-dev (deb),
liblapack: apt-get install -y liblapack-dev (deb),
libarpack++2: apt-get install -y libarpack++2-dev (deb),
gfortran: apt-get install -y gfortran (deb), libjpeg-dev:
apt-get install -y libjpeg-dev (deb), libpng-dev: apt-get
install -y libpng-dev (deb), libfftw3-dev: apt-get install -y
libfftw3-dev (deb), libtiff5-dev: apt-get install -y
libtiff5-dev (deb)"
"OpenMx","2.19.8","GNU make"
"openNLP","0.2-7","Java (>= 5.0)"
"openNLPdata","1.5.3-4","Java (>= 5.0)"
"openssl","1.4.5","OpenSSL >= 1.0.1"
"OpenStreetMap","0.3.4","Java (>= 1.5), JRI"
"opentimsr","1.0.7","C++14"
"oppr","1.0.3","C++11"
"optimalThreshold","1.0","JAGS 4.x.y"
"ora","2.0-1","Oracle client"
"orca","1.1-1","C++11"
"Orcs","1.2.1","GNU make, 7zip, unix2dos"
"orderly","1.4.3","git"
"ordinalClust","1.3.5","C++11"
"ordinalgmifs","1.0.6","C++11"
"orQA","0.2.1","GNU make"
"osmdata","0.1.8","C++11"
"osmose","3.3.4","Java (>= 8)"
"osrmr","0.1.36","To use the Localhost of OSRM, you need to build
OSRM
<https://github.com/Project-OSRM/osrm-backend/wiki/Building-OSRM>
locally"
"otsad","0.2.0","Python (>= 3.0.1); bencode-python3 (1.0.2)"
"outbreaker2","1.1.2","C++11"
"outsider","0.1.1","docker (>=18.0.0)"
"outsider.base","0.1.4","docker (>=18.0.0)"
"OwenQ","1.0.4","C++11"
"PAC","1.1.4","C++11"
"pagedown","0.15","Pandoc (>= 2.2.3)"
"PandemicLP","1.1.1","GNU make"
"pander","0.6.4","pandoc (https://johnmacfarlane.net/pandoc) for
exporting markdown files to other formats."
"pandocfilters","0.1-4","pandoc (> 1.12)"
"PanelMatch","2.0.0","C++11"
"parallelDist","0.2.4","C++11"
"paramlink","1.1-2","For the MERLIN wrapper, MERLIN
(http://csg.sph.umich.edu/abecasis/Merlin/) must be installed
and pointed to in the PATH environment variable."
"paramlink2","1.0.3","MERLIN
(http://csg.sph.umich.edu/abecasis/merlin/index.html) for
multipoint linkage analysis."
"parglm","0.1.7","C++11"
"parsermd","0.1.2","C++14"
"particles","0.2.2","C++11"
"parzer","0.4.0","C++11"
"patchDVI","1.10.1","The 'Japanese.Rnw' vignette requires uplatex and
dvipdfmx."
"pathfindR","1.6.2","Java (>= 8.0)"
"patientProfilesVis","2.0.2","latex"
"patternplot","1.0.0","GNU make"
"paws.common","0.3.13","pandoc (>= 1.12.3) - http://pandoc.org"
"pbdBASE","0.5-3","OpenMPI (>= 1.5.4) on Solaris, Linux, Mac, and
FreeBSD. MS-MPI (Microsoft HPC Pack 2012) or MPICH2 (>=
1.4.1p1) on Windows."
"pbdMPI","0.4-3","OpenMPI (>= 1.5.4) on Solaris, Linux, Mac, and
FreeBSD. MS-MPI (Microsoft MPI v7.1 (SDK) and Microsoft HPC
Pack 2012 R2 MS-MPI Redistributable Package) on Windows."
"pbdPROF","0.4-0","OpenMPI (>= 1.5.4) on Solaris, Linux, Mac, and
FreeBSD. No MPI library required on Windows yet."
"pbdRPC","0.2-1","ssh (OpenSSH) or plink (PuTTY) on Solaris, Linux,
and Mac."
"pbdSLAP","0.3-1","'OpenMPI' (>= 1.5.4) on Solaris, Linux, Mac, and
FreeBSD. 'MS-MPI' (Microsoft HPC Pack 2012 R2 MS-MPI
Redistributable Package) on Windows."
"pbdZMQ","0.3-5","Linux, Mac OSX, and Windows, or 'ZeroMQ' library >=
4.0.4. Solaris 10 needs 'ZeroMQ' library 4.0.7 and 'OpenCSW'."
"pbixr","0.1.4","'Microsoft' 'PowerShell'
(<https://docs.microsoft.com/en-us/powershell/>), 'Microsoft'
'Power BI' (<https://powerbi.microsoft.com>)"
"PBSmapping","2.73.0","C++11"
"PBSmodelling","2.68.8","BWidget"
"pcaL1","1.5.4","COIN-OR Clp (>= 1.12.0)"
"pcFactorStan","1.5.3","GNU make"
"PCMRS","0.1-2","C++11"
"pcnetmeta","2.7","JAGS 4.x.y (http://mcmc-jags.sourceforge.net)"
"PDE","1.3.0","XPDF
(4.2.0)(https://www.xpdfreader.com/download.html)"
"pdfminer","1.0","Python>=3.6, pdfminer.six>=20200402, pandas"
"pdftools","3.0.1","Poppler C++ API: libpoppler-cpp-dev (deb) or
poppler-cpp-devel (rpm). The unit tests also require the
'poppler-data' package (rpm/deb)"
"pdSpecEst","1.2.4","GNU make, C++11"
"PenCoxFrail","1.0.1","C++11"
"permGPU","0.15","Nvidia's CUDA toolkit (>= release 6.0)"
"ph2rand","0.1.0","C++11"
"pharmr","0.33.1","Python (>= 3.6.0)"
"phase1PRMD","1.0.2","JAGS (http://mcmc-jags.sourceforge.net)"
"phonfieldwork","0.0.11","pandoc (>= 1.14) - http://pandoc.org"
"PhViD","1.0.8","Tcl/Tk package TkTable."
"Phxnlme","1.0.0","Phoenix NLME with Phoenix Modeling Language (PML)
license"
"PhyloMeasures","2.1","C++11"
"piecepackr","1.8.1","ghostscript"
"piton","1.0.0","C++11"
"pivmet","0.4.0","pandoc (>= 1.12.3), pandoc-citeproc"
"pkgdown","1.6.1","pandoc"
"pkgnews","0.0.2","pandoc"
"PKI","0.1-8","OpenSSL library and headers (openssl-dev or
similar)"
"planar","1.6","GNU make"
"PlanetNICFI","1.0.3","aria2: apt-get install -y aria2 (deb), gdal-bin:
apt-get install -y gdal-bin (deb), libgdal-dev: apt-get install
-y libgdal-dev (deb)"
"Plasmidprofiler","0.1.6","Pandoc (>= 1.15)"
"plinkQC","0.3.4","plink (1.9)"
"plumberDeploy","0.2.1","libssh >= 0.6.0 (the original, not libssh2)"
"PMCMRplus","1.9.2","gmp (>= 4.2.3), mpfr (>= 3.0.0) | file README.md"
"png","0.1-7","libpng"
"poisbinom","1.0.1","fftw (>= 3)"
"PoissonBinomial","1.2.4","fftw3 (>= 3.3)"
"polyqtlR","0.0.6","C++11"
"pomp","3.6","For Windows users, Rtools (see
https://cran.r-project.org/bin/windows/Rtools/)."
"PoolTestR","0.1.1","GNU make"
"PopGenome","2.7.5","zlib headers and library."
"PortfolioEffectEstim","1.4","Java (>= 1.7)"
"PortfolioEffectHFT","1.8","Java (>= 1.7)"
"POSetR","1.0.3","C++17"
"potential","0.1.0","GDAL (>= 2.0.1), GEOS (>= 3.4.0), PROJ.4 (>= 4.8.0)"
"potools","0.2.2","gettext"
"pRecipe","0.1.0","PROJ (>= 4.8.0, https://proj.org/download.html) and
GDAL (>= 1.11.4, https://gdal.org/download.html)."
"PreKnitPostHTMLRender","0.1.0","pandoc (>= 1.12.3) -
http://johnmacfarlane.net/pandoc"
"PReMiuM","3.2.7","GNU make"
"prettydoc","0.4.1","pandoc (>= 1.12.3)"
"prevalence","0.4.0","JAGS (>= 3.2.0) (see
http://mcmc-jags.sourceforge.net)"
"prider","1.0.2","C++11"
"primes","1.1.0","C++11"
"PRIMME","3.2-1","A POSIX system. Currently Linux and OS X are known
to work. GNU make."
"proccalibrad","0.14","MRTSwath"
"ProcData","0.3.2","Python (>= 2.7), Keras (>= 2.0), TensorFlow (>=
1.13)"
"processmapR","0.3.4","C++11"
"proffer","0.1.5","Graphviz (https://www.graphviz.org/), pprof
(https://github.com/google/pprof)"
"ProFound","1.14.1","C++11"
"proj4","1.0-10.1","proj 4.4.6 or higher (http://proj.maptools.org/)"
"ProjectionBasedClustering","1.1.6","C++11"
"prophet","1.0","GNU make, C++11"
"protolite","2.1.1","libprotobuf and protobuf-compiler"
"protr","1.6-2","ncbi-blast+ (see
<https://blast.ncbi.nlm.nih.gov/Blast.cgi?PAGE_TYPE=BlastDocs&DOC_TYPE=Download>)"
"protViz","0.7.0","C++11"
"proxyC","0.2.1","C++11"
"pseudorank","1.0.1","C++11"
"psqn","0.2.1","C++11"
"psrwe","1.3","GNU make"
"PTXQC","1.0.11","pandoc (http://pandoc.org) for building Vignettes
and output reports as HTML"
"publipha","0.1.1","GNU make"
"pureseqtmr","1.2","PureseqTM
(https://github.com/PureseqTM/pureseqTM_package)"
"PVAClone","0.1-6","JAGS (>= 3.0.0)"
"pylintR","0.1.0","pylint"
"pysd2r","0.1.0","'python3' needs to built for the same architecture
R is built for (32 or 64 bit)."
"qCBA","0.5.1","Java (>= 8)"
"QF","0.0.6","GNU GSL"
"qmix","0.1.2.0","GNU make"
"qs","0.25.1","C++11"
"qualpalr","0.4.3","GNU make"
"quantdr","1.2.0","GNU make"
"quanteda","3.1.0","C++11"
"quanteda.textmodels","0.9.4","C++11"
"quanteda.textstats","0.94.1","C++11"
"QuantTools","0.5.7.1","C++11"
"Quartet","1.2.2","C++11"
"quarto","1.0","Quarto command line tools
(https://github.com/quarto-dev/quarto-cli)."
"questionr","0.7.5","xclip (Linux)"
"r.blip","1.1","Java (>= 1.5)"
"R2admb","0.7.16.2","AD Model Builder <http://admb-project.org>"
"R2jags","0.7-1","JAGS (http://mcmc-jags.sourceforge.net)"
"R2MLwiN","0.8-7","MLwiN, (OpenBUGS, WinBUGS optional)"
"R2OpenBUGS","3.2-3.2.1","OpenBUGS (>= 3.2.2)"
"r2pmml","0.26.0","Java (>= 8.0)"
"R2SWF","0.9-6","zlib, libpng, FreeType"
"R2WinBUGS","2.1-21","OpenBugs for functions bugs() and openbugs() or
WinBUGS 1.4 for function bugs()"
"r5r","0.5.0","Java JDK (>= 11.0)"
"raceland","1.1.1","C++11"
"ragg","1.1.3","C++11, freetype2, libpng, libtiff, libjpeg"
"rankUncertainty","1.0.1.0","GNU, C++11"
"rapidjsonr","1.2.0","GNU make"
"rapidraker","0.1.3","Java (>= 8)"
"RAppArmor","3.2.2","linux (>= 3.0), libapparmor-dev"
"rapport","1.1","pandoc (https://johnmacfarlane.net/pandoc) for
exporting markdown files to other formats."
"raptr","0.1.7","C++11"
"RAQSAPI","2.0.1","package manual requires pandoc (>= 1.14)
http://pandoc.org"
"rasciidoc","3.1.4","python >= 2.6, by default rasciidoc uses a system
installation of asciidoc. If a system installation of asciidoc
is not available, it downloads the sources from
(<http://gitlab.com/asciidoc>). GNU source-highlight is
recommended."
"raster","3.5-2","C++11"
"rater","1.2.0","GNU make"
"raveio","0.0.5","little-endian platform"
"rayrender","0.21.2","C++11"
"rbart","1.0","C++11"
"RBaseX","0.3.0","Needs a running BaseX-instance."
"rbedrock","0.1.1","C++11, cmake, zlib, GNU make, Solaris: g++ is a
requirement"
"RBesT","1.6-2","GNU make, pandoc (>= 1.12.3), pandoc-citeproc"
"Rbgs","0.2","Java JRE 1.6 or higher ; Xuggle-xuggler-5.4.jar in
library paths and class paths."
"rbi","0.10.3","LibBi (>= 1.4.2)"
"rbi.helpers","0.3.2","libbi (>= 1.4.2)"
"rbioacc","1.0.2","GNU make"
"Rblpapi","0.3.11","A valid Bloomberg installation. The API headers and
dynamic library are downloaded from
<https://github.com/Rblp/blp> during the build step. See
<https://bloomberg.github.io/blpapi-docs/cpp/3.8> as well as
<https://www.bloomberg.com/professional/support/api-library/>
for API documentation. A compiler recent enough for (at least
partial) C++11 support is required; g++-4.6.* or later should
be sufficient and g++-4.9.* or later is preferred."
"rblt","0.2.4.5","libhdf5 (>= 1.8.12)"
"Rborist","0.2-3","g++ (>= 4.8)"
"rCBA","0.4.3","Java (>= 8)"
"rcbayes","0.1.0","GNU make"
